fecha,plataforma,seguidores,likes,comentarios
2025-03-26,YouTube,798,124,21
2025-03-31,Facebook,974,97,26
2024-11-30,Instagram,1205,89,8
2024-08-13,TikTok,1505,85,22
2024-12-01,Instagram,1312,140,13
2024-09-09,YouTube,1335,124,24
2024-09-18,YouTube,1278,130,7
2024-07-17,TikTok,1311,92,7
2025-04-06,X,1444,124,16
2024-10-25,Instagram,831,77,26
2025-04-03,Facebook,1092,104,11
2024-09-02,X,1327,120,14
2025-01-04,Instagram,948,134,16
2024-11-12,TikTok,930,75,26
2024-06-10,X,897,134,8
2024-09-01,Facebook,1352,91,12
2025-01-04,TikTok,865,119,24
2025-03-14,Instagram,1008,152,19
2025-01-13,YouTube,1026,107,14
2025-01-30,YouTube,1147,135,21
2024-09-06,TikTok,1468,98,14
2025-04-15,YouTube,994,148,16
2025-05-02,X,1358,142,9
2025-03-18,X,793,99,10
2024-08-10,Facebook,751,145,21
2024-08-02,Facebook,1269,129,19
2025-02-15,TikTok,1518,87,23
2024-11-22,YouTube,1205,148,20
2025-03-01,YouTube,890,118,15
2025-03-29,Instagram,1156,130,8
2025-01-27,YouTube,1368,129,22
2024-07-02,YouTube,1462,130,20
2025-03-12,X,1323,136,19
2025-01-22,Facebook,1155,130,12
2025-01-05,X,1466,98,13
2024-07-31,TikTok,1078,79,11
2024-10-10,Instagram,1393,111,8
2025-02-11,X,1203,151,25
2025-05-01,Facebook,1072,85,17
2024-11-17,YouTube,927,106,16
2025-04-07,TikTok,1189,105,7
2024-07-18,X,1392,120,23
2025-04-07,YouTube,963,78,14
2025-05-22,Facebook,1005,128,21
2025-03-29,TikTok,1199,128,24
2024-07-21,YouTube,1143,147,9
2025-02-19,TikTok,861,78,10
2025-01-10,Instagram,875,148,14
2024-08-15,TikTok,789,109,11
2024-08-22,Facebook,1036,109,13
2025-03-20,Instagram,1412,95,15
2024-11-20,Instagram,1368,148,11
2025-04-25,YouTube,765,99,15
2024-10-30,Facebook,1433,144,25
2024-12-06,Instagram,1193,151,23
2025-04-12,Facebook,1069,128,23
2024-08-10,YouTube,1016,148,24
2024-07-24,YouTube,1470,131,17
2024-06-12,YouTube,1479,83,22
2024-11-14,Instagram,1089,110,15
2024-10-31,TikTok,911,78,7
2025-01-17,TikTok,1306,78,20
2025-03-12,TikTok,1478,135,18
2025-02-19,X,1521,89,10
2025-05-08,Instagram,825,124,26
2024-12-23,Instagram,983,150,11
2024-12-04,YouTube,947,119,23
2025-05-15,TikTok,1280,89,21
2024-08-11,YouTube,1146,112,12
2024-10-22,Instagram,802,103,16
2024-07-01,Facebook,1352,104,21
2024-08-25,Instagram,1334,110,17
2025-02-05,YouTube,875,103,17
2024-10-16,YouTube,765,83,16
2025-04-23,TikTok,1278,86,8
2024-11-14,X,1021,80,22
2025-03-30,Facebook,1120,100,25
2024-11-10,Instagram,1008,108,13
2024-08-10,Instagram,1471,135,15
2024-06-14,X,962,132,22
2024-07-25,TikTok,1063,123,17
2025-02-21,Facebook,1199,112,12
2024-06-14,X,1425,104,23
2024-06-30,Instagram,1212,119,8
2025-01-17,Instagram,1186,112,14
2024-08-11,YouTube,913,114,14
2025-04-27,TikTok,1313,86,22
2024-07-08,X,1110,92,20
2024-12-27,X,879,83,21
2025-02-18,TikTok,1305,115,17
2025-04-30,Facebook,1520,99,23
2025-02-07,TikTok,1226,151,7
2024-11-05,TikTok,1010,130,26
2024-10-19,X,1044,110,20
2024-09-06,X,1190,95,19
2024-07-28,YouTube,788,124,13
2024-08-17,TikTok,866,150,13
2024-07-18,Facebook,1052,148,19
2025-03-26,X,1046,110,9
2025-04-05,YouTube,1257,140,8
2025-06-04,Instagram,831,144,7
2025-04-03,TikTok,1044,145,13
2024-11-12,TikTok,1334,149,8
2024-06-30,TikTok,756,81,18
2024-06-15,X,1247,138,11
2025-02-27,TikTok,1109,119,24
2025-03-22,Instagram,1059,150,26
2024-07-14,TikTok,786,120,24
2024-12-01,TikTok,1470,79,18
2024-08-07,X,1503,100,18
2025-03-08,TikTok,1182,145,22
2024-07-17,Facebook,1156,147,17
2024-12-14,X,756,109,18
2025-05-22,TikTok,1470,124,10
2024-11-12,Facebook,1340,96,19
2024-08-08,X,1111,147,10
2024-09-06,Facebook,1489,82,15
2025-03-29,X,1281,128,22
2025-02-07,TikTok,1497,92,11
2024-08-08,YouTube,1296,111,11
2025-03-27,X,1055,131,15
2024-10-26,Facebook,979,129,26
2025-04-11,X,1211,127,25
2024-12-14,Instagram,1160,151,11
2024-07-23,X,1197,104,26
2024-12-19,Facebook,1508,101,17
2024-10-24,TikTok,1306,144,7
2024-07-16,Instagram,1504,151,13
2024-06-30,TikTok,1451,77,7
2024-12-07,X,868,104,16
2024-09-15,X,1200,143,19
2024-07-30,Instagram,1303,123,16
2025-03-26,Facebook,799,136,22
2024-09-12,TikTok,1243,127,8
2024-09-03,Instagram,1486,94,26
2024-12-11,YouTube,1245,147,10
2024-10-03,Instagram,1265,96,18
2025-04-06,Instagram,921,81,15
2024-07-19,TikTok,1127,145,19
2024-07-13,YouTube,1152,123,19
2024-10-09,X,996,127,25
2024-11-17,Facebook,1106,111,25
2025-02-11,TikTok,782,79,23
2025-02-07,YouTube,949,117,16
2024-09-21,YouTube,986,131,16
2025-05-09,YouTube,1266,130,23
2024-08-11,TikTok,1511,82,7
2024-08-13,X,1170,108,16
2025-02-04,X,1120,146,22
2025-02-11,Instagram,906,80,13
2025-01-12,X,1389,149,12
2025-05-10,YouTube,1237,88,23
2024-08-03,TikTok,1217,138,16
2025-01-16,TikTok,1110,126,24
2024-06-24,TikTok,770,127,8
2024-07-19,Instagram,753,75,15
2025-03-21,Instagram,1199,129,14
2024-10-28,Facebook,993,83,11
2025-05-19,Facebook,1159,123,23
2025-03-11,YouTube,1037,147,23
2025-04-12,Instagram,1312,141,13
2024-10-28,Facebook,779,78,26
2025-04-09,Instagram,1296,150,10
2024-08-11,Facebook,1463,150,17
2024-11-29,YouTube,1434,133,14
2024-11-25,Facebook,1064,121,16
2024-08-10,Facebook,1093,130,21
2025-01-05,Facebook,796,131,9
2025-02-25,TikTok,1013,80,15
2024-08-13,Instagram,1416,144,23
2025-01-26,Facebook,950,113,21
2025-04-17,YouTube,1186,137,14
2025-06-04,YouTube,1410,144,24
2024-11-08,YouTube,1374,88,13
2025-03-20,X,856,117,10
2024-12-17,X,924,85,24
2024-07-20,Facebook,1089,107,16
2024-11-07,Facebook,869,150,26
2024-08-05,TikTok,788,113,7
2025-02-22,TikTok,1154,136,23
2025-06-01,X,1442,132,22
2024-09-23,TikTok,927,140,21
2024-12-20,YouTube,1276,94,22
2024-10-13,YouTube,1108,76,22
2025-01-31,Instagram,1366,110,24
2024-11-02,Instagram,1487,108,15
2025-03-14,X,1150,80,24
2025-05-27,YouTube,1285,122,9
2024-08-11,YouTube,1407,98,17
2024-08-06,Facebook,904,107,8
2025-04-07,X,1147,130,18
2024-07-18,X,943,112,22
2025-02-06,Instagram,1241,141,7
2024-06-28,X,911,130,23
2024-06-21,Facebook,1339,143,25
2024-08-25,X,1427,110,15
2024-08-26,Instagram,1490,110,12
2025-04-16,TikTok,1366,130,18
2024-09-16,X,1289,115,11
2024-09-10,Facebook,857,142,25
2024-12-30,X,851,130,19
2025-02-26,X,1016,144,23
2024-06-21,X,1332,75,14
2025-04-27,YouTube,1277,89,9
2025-02-02,X,1008,108,21
2025-01-20,Instagram,988,92,24
2024-12-13,YouTube,788,115,15
2025-04-05,TikTok,1129,103,12
2024-07-07,X,1293,145,7
2024-12-13,Facebook,1006,93,12
2024-11-25,TikTok,1220,77,7
2025-02-23,Facebook,902,81,7
2024-07-21,YouTube,985,94,25
2024-07-16,X,956,105,23
2025-01-13,TikTok,1479,125,16
2024-12-19,Instagram,1426,102,21
2024-11-22,TikTok,950,132,11
2025-02-18,TikTok,802,111,26
2024-11-01,X,1293,93,16
2025-02-16,X,989,135,22
2025-02-19,YouTube,1388,121,8
2024-09-28,Instagram,882,131,16
2025-01-23,X,858,107,9
2024-08-05,Facebook,1351,134,21
2024-08-07,Facebook,1035,105,23
